brand;sku;name;priceIncl;stockLevel;skip;skip;articleCode;skip;skip
ZyXEL;57-053-943089B;ZyXEL Cable Telco Pots 1624F;0;48.29;1;;ZYKA001;DMTELCO;DSLAM Telcokabels
ZyXEL;57-110-043300B;ZyXEL Telco50-RJ11 3M (GP);46.74;35.05;0;;ZYKA3000RJ11;DMTELCO;DSLAM Telcokabels
ZyXEL;30-132-101133B;ZyXEL Power adapter DC 12V 1,5A;0;29;4;;ZYVO12V1.5A;SECFWPSU;Firewall Power Adapters
ZyXEL;GS1100-16-EU0101F;ZyXEL GS-1100-16;69.33;52;18;;ZYGS1100-16;SWUNGIG;Switching Unmanaged Switches Gigabit
ZyXEL;91-010-004013B;ZyXEL ES-3124 DC version op=op;0;99;1;;ZYES3124DC;SWML2100;Switching Managed L2 10/100
ZyXEL;91-010-211001B;ZyXEL MES-3528 op=op;0;172.78;1;;ZYMES3528;SWML2100;Switching Managed L2 10/100
ZyXEL;91-010-136001B;* ZyXEL MP-7201 op=op;0;299;3;;ZYMP7201;SWCHPSU;Switching Chassis PSU's
ZyXEL;91-010-091001B;* ZyXEL MM-7201 op=op;0;450;3;;ZYMM7201;SWCHSK;Switching Chassis Switchkaarten
ZyXEL;91-010-103001B;* ZyXEL MP-7202 op=op;0;399;1;;ZYMP7202;SWCHPSU;Switching Chassis PSU's
ZyXEL;91-010-092001B;ZyXEL MS-7206S op=op;1712.53;1855.24;3;;ZYMS7206;SWCHCH;Switching Chassis
ZyXEL;91-010-081001B;* ZyXEL MI-7248 op=op;0;1800;4;;ZYMI7248;SWCHSK;Switching Chassis Switchkaarten
ZyXEL;91-010-123001B;* ZyXEL MI-7248PWR op=op;0;1900;1;;ZYMI7248PWR;SWCHSK;Switching Chassis Switchkaarten
ZyXEL;91-010-147001B;* ZyXEL MI-7248TF op=op;0;1900;2;;ZYMI7248TF;SWCHSK;Switching Chassis Switchkaarten
ZyXEL;91-010-205001B;ZyXEL SFP-LHX 1310-40D op=op;0;80;1;;ZYSFPLHX1310;FIMODGIG;Fiber Modules SFP (Gigabit)
ZyXEL;91-010-179001B;ZyXEL FTLX8511 D3 op=op;0;250;11;;ZYXFP10GSRSW;FIMOD10G;Fiber Modules SFP+ (10G)
ZyXEL;91-010-178001B;ZyXEL FTLX1411 D3 op=op;0;499;2;;ZYXFP10GLRLW;FIMOD10G;Fiber Modules SFP+ (10G)
ZyXEL;91-010-057007B;ZyXEL BPS-120 cable op=op;0;19;25;;ZYKABPS120;SWCHPSU;Switching Chassis PSU's
ZyXEL;91-012-006001B;ZyXEL P-2002L op=op;0;4.9;27;;ZYP2002LNG;UitVerk;Uitverkoop
ZyXEL;91-006-025001;ZyXEL P-2602R-63 op=op;0;4;10;;ZYP2602R63NG;MRMO;Modem/Router Modems ADSL/VDSL
ZyXEL;91-006-088001B;ZyXEL P-2602R-D3A op=op;0;4;10;;ZYP2602RD3A;MRMO;Modem/Router Modems ADSL/VDSL
CABLE;K8456.0,5;UTP CAT 5e  0,5mtr Grijs;0;0.35;247;;CACAT5E001;KAU5E0,5;Kabels CAT 5E 0,5mtr
CABLE;K8456.1;UTP CAT 5e  1mtr Grijs;0;0.46;623;;CACAT5E002;KAU5E1;Kabels CAT 5E 1mtr
CABLE;K8095.1;UTP CAT 5e  1mtr Geel;0;0.45;133;;CACAT5E009;KAU5E1;Kabels CAT 5E 1mtr
CABLE;K8093.1;UTP CAT 5e  1mtr Groen;0;0.45;96;;CACAT5E014;KAU5E1;Kabels CAT 5E 1mtr
