EAN code	Vendorcode	Vendor SKU	Brand	Name	SRP price ex. VAT EUR	Your price ex. VAT EUR	Stock
4710474327515	XS5216D	RSH-4035	QSAN XCube	Qsan XCubeSAN XS5216D (10GbE RJ45 x4, Dual, 3U, 16 bay)	9189.00	7810.65	0
4710474327546	XS5224S	RSH-4038	QSAN XCube	Qsan XCubeSAN XS5224S (10GbE RJ45 x2, Single, 4U, 24 bay)	9999.00	9499.00	0
4710474327508	XS5224D	RSH-4037	QSAN XCube	Qsan XCubeSAN XS5224D (10GbE RJ45 x4, Dual, 4U, 24 bay)	10719.00	9111.15	0
4711132866704	12088	RSH-1078	Raidon	Raidon Carrier voor J1-1S-B3	10.04	6.50	7
4711132862201	12099	RSH-3113	Raidon	Raidon 3.5 inch HDD Lederen Tray Bag	10.74	9.10	0
	20280	RSH-0799	Raidon	Raidon Carrier voor iS2880 / MR2020	12.60	8.45	1
4711132865042	12060	RSH-0800	Raidon	Raidon Carrier voor SR5600 / SR2611 / U6-2S-S2 / U6-4S	21.01	15.60	4
4711132865059	12059	RSH-2811	Raidon	Raidon Carrier voor SR6600 / 2900 / SR3610 / ST1000 / ST6600 / S	21.01	15.60	6
4711132864786	GR3660-B3	RSH-2910	Raidon	Raidon GR3660-B3	82.60	75.04	4
4711132864366	iR2022	RSH-4420	Raidon	Raidon iR2022	156.20	150.12	0
4711132864892	GR3680-SB3	RSH-3529	Raidon	Raidon GR3680-SB3	180.95	161.00	1
8801643068684	MZ-N6E250BW	RSH-4931	Samsung	250GB Samsung M.2 860 EVO MZ-N6E250BW	68.60	65.10	0
8801643120498	MZ-76P256BW	RSH-4925	Samsung	256GB Samsung SSD 860 PRO MZ-76P256B	97.52	92.40	6
8806088540139	MZ-V6E250BW	RSH-4500	Samsung	Samsung 250GB M.2 960 EVO PCI-e (NVMe) MZ-V6E250BW	102.48	97.13	6
8801643068691	MZ-N6E500BW	RSH-4932	Samsung	500GB Samsung M.2 860 EVO MZ-N6E500BW	103.31	97.77	0
8806088936017	MZ-76E500B/EU	RSH-4922	Samsung	500GB Samsung SSD 860 EVO MZ-76E500B	110.74	96.80	73
8801643119072	MZ-76P512BW	RSH-4926	Samsung	512GB Samsung SSD 860 PRO MZ-76P512B	173.55	165.11	6
8806088540122	MZ-V6E500BW	RSH-4497	Samsung	Samsung 500GB M.2 960 EVO PCI-e (NVMe) MZ-V6E500BW	198.35	188.77	7
8801643068714	MZ-N6E1T0BW	RSH-4933	Samsung	1TB Samsung M.2 860 EVO MZ-N6E1T0BW	204.96	194.73	0
8806088934884	MZ-76E1T0B/EU	RSH-4920	Samsung	1TB Samsung SSD 860 EVO MZ-76E1T0B	216.53	196.00	36
8806088540146	MZ-V6P512BW	RSH-4503	Samsung	Samsung 512GB M.2 SSD 960 PRO (NVMe) MZ-V6P512BW	246.28	233.80	0
8801643119225	MZ-76P1T0BW	RSH-4927	Samsung	1TB Samsung SSD 860 PRO MZ-76P1T0B	326.45	310.60	0
8806088540115	MZ-V6E1T0BW	RSH-4501	Samsung	Samsung 1TB M.2 960 EVO PCI-e (NVMe) MZ-V6E1T0BW	337.19	320.91	1
8806088934860	MZ-76E2T0B/EU	RSH-4923	Samsung	2TB Samsung SSD 860 EVO MZ-76E2T0B	410.74	390.81	0
8806088540153	MZ-V6P1T0BW	RSH-4504	Samsung	Samsung 1TB M.2 SSD 960 PRO (NVMe) MZ-V6P1T0BW	469.42	446.36	0
8801643076382	MZ-76P2T0BW	RSH-4929	Samsung	2TB Samsung SSD 860 PRO MZ-76P2T0B	661.98	629.79	0
8806088934877	MZ-76E4T0B/EU	RSH-4924	Samsung	4TB Samsung SSD 860 EVO MZ-76E4T0B	836.36	796.13	0
8806088540160	MZ-V6P2T0BW	RSH-4502	Samsung	Samsung 2TB M.2 960 EVO PCI-e (NVMe) MZ-V6P2T0BW	950.41	905.10	0
5711783631323	MZ7LM240HMHQ-00005	RSH-4454	Samsung	Samsung SSD PM863a 240GB v3 read-intensive	123.14	118.21	0
5711783926740	MZ7KM240HMHQ-00005	RSH-4458	Samsung	Samsung SSD SM863a 240GB v3 write-intensive	151.24	145.19	0
0672042109715	MZ7LM480HMHQ-00005	RSH-4456	Samsung	Samsung SSD PM863a 480GB v3 read-intensive	214.88	206.28	0
5711783791522	MZ7KM480HMHQ-00005	RSH-4459	Samsung	Samsung SSD SM863a 480GB v3 write-intensive	275.21	264.20	0
4260580370023	MZ7LM960HMJP-00005	RSH-4457	Samsung	Samsung SSD PM863a 960GB v3 read-intensive	397.52	381.62	0
7613081037150	MZ7KM960HMJP-00005	RSH-4460	Samsung	Samsung SSD SM863a 960GB v3 write-intensive	515.70	495.07	0
7613081036184	MZ7LM1T9HMJP-00005	RSH-4453	Samsung	Samsung SSD PM863a 1920GB v3 read-intensive	763.64	733.09	0
7613081036924	MZ7KM1T9HMJP-00005	RSH-4461	Samsung	Samsung SSD SM863a 1920GB v3 write-intensive	1142.98	1097.26	0
5060298152725	MZ7LM3T8HMLP-00005	RSH-4455	Samsung	Samsung SSD PM863a 3840GB v3 read-intensive	1661.98	1595.50	0
0619659161323	SDSQUAR-016G-GN6IA	RSH-4749	SanDisk	16GB SanDisk MicroSDHC Ultra Class 10 SDSQUAR-016G-GN6IA	9.41	8.96	2
0619659134624	SDSQUNC-016G-GN6IA	RSH-4557	SanDisk	16GB SanDisk MicroSDHC Ultra Class 10	10.02	9.54	1
0619659161415	SDSQUAR-032G-GN6IA	RSH-4750	SanDisk	32GB SanDisk MicroSDHC Ultra Class 10 SDSQUAR-032G-GN6IA	15.48	14.74	7
619659126513	SDSDQQ-032G-G46A	RSH-4560	SanDisk	32GB SanDisk MicroSDHC High Endurance Class 10	18.00	17.14	1
0619659155827	SDSQXAF-032G-GN6MA	RSH-4589	SanDisk	32GB SanDisk MicroSDHC Extreme SDSQXAF-032G-GN6MA	18.44	17.56	1
0619659161491	SDSQUAR-064G-GN6IA	RSH-4751	SanDisk	64GB SanDisk MicroSDHC Ultra Class 10 SDSQUAR-064G-GN6IA	23.93	22.79	3
0619659128425	SDSDQQ-064G-G46A	RSH-4561	SanDisk	64GB SanDisk MicroSDXC High Endurance Class 10	31.06	29.58	4
0619659155971	SDSQXAF-064G-GN6MA	RSH-4590	SanDisk	64GB SanDisk MicroSDHC Extreme SDSQXAF-064G-GN6MA	35.16	33.49	0
0619659160388	SDSQUAR-128G-GN6IA	RSH-4752	SanDisk	128GB SanDisk MicroSDXC Ultra Class 10 SDSQUAR-128G-GN6IA	45.27	43.11	5
0619659156053	SDSQXAF-128G-GN6MA	RSH-4591	SanDisk	128GB SanDisk MicroSDXC Extreme SDSQXAF-128G-GN6MA	66.64	63.47	0
619659146726	SDSSDA-240G-G26	RSH-4535	SanDisk	SanDisk 240GB SSD Plus SDSSDA-240G-G26	74.43	70.89	0
0619659112134	SDSSDHII-240G-G25	RSH-4563	SanDisk	240GB SanDisk SSD Ultra II	78.09	74.37	2
619659146757	SDSSDA-480G-G26	RSH-4536	SanDisk	SanDisk 480GB SSD Plus SDSSDA-480G-G26	127.01	120.96	0
0619659112196	SDSSDHII-960G-G25	RSH-4565	SanDisk	960GB SanDisk SSD Ultra II	260.55	248.14	0
7636490076527	ST500LM030	RSH-4260	Seagate	Seagate 500GB Guardian BarraCuda HDD (ST500LM030)	33.88	33.16	0
3660619400409	ST500DM009	RSH-4223	Seagate	Seagate 500GB Guardian BarraCuda HDD (ST500DM009)	35.54	34.69	0
0763649098240	ST1000DM010	RSH-4224	Seagate	Seagate 1TB Guardian BarraCuda HDD (ST1000DM010)	36.36	35.74	0
763649098301	ST1000LM048	RSH-4261	Seagate	Seagate 1TB Guardian BarraCuda HDD (ST1000LM048)	40.50	39.92	6
0763649097977	ST1000VX005	RSH-4241	Seagate	Seagate 1TB Guardian SkyHawk Surveillance (ST1000VX005)	42.98	41.83	0
7636490067655	ST500LX025	RSH-4238	Seagate	Seagate 500GB Guardian FireCuda SSHD (ST500LX025)	43.80	42.77	0
0763649098004	ST1000VN002	RSH-4249	Seagate	Seagate 1TB Guardian IronWolf NAS (ST1000VN002)	49.59	48.31	0
7636490067624	ST1000LX015	RSH-4239	Seagate	Seagate 1TB Guardian FireCuda SSHD (ST1000LX015)	52.89	52.11	0
0763649098011	ST2000VN004	RSH-4250	Seagate	Seagate 2TB Guardian IronWolf NAS (ST2000VN004)	61.16	58.08	14
0763649097984	ST2000VX008	RSH-4242	Seagate	Seagate 2TB Guardian SkyHawk Surveillance (ST2000VX008)	61.98	61.14	5
0763649110218	ST2000DM006	RSH-4225	Seagate	Seagate 2TB Guardian BarraCuda HDD (ST2000DM006)	62.81	62.04	1
0763649110263	ST1000DX002	RSH-4235	Seagate	Seagate 1TB Guardian FireCuda SSHD (ST1000DX002)	63.64	62.64	0
763649098318	ST2000LM015	RSH-4262	Seagate	Seagate 2TB Guardian BarraCuda HDD (ST2000LM015)	72.73	71.28	4
3660619400386	ST3000DM008	RSH-4226	Seagate	Seagate 3TB Guardian BarraCuda HDD (ST3000DM008)	76.03	74.72	0
